timestamp,image_a,image_b,chosen,liked_features,disliked_features,general_feedback,session_id,not_chosen
2025-06-09 1:30:00,f392e1d0a0b82712fc120e9b78720338.jpg,259dbd705b44eec1129a30973a118285.jpg,f392e1d0a0b82712fc120e9b78720338.jpg,"[""metal_type:White Gold"", ""metal_type:White Gold"", ""oval_shape:Normal"", ""metal_type:White Gold"", ""oval_shape:Normal"", ""overall_style:Classic"", ""metal_type:White Gold"", ""oval_shape:Normal"", ""overall_style:Classic"", ""setting_style:Solitaire"", ""metal_type:White Gold"", ""oval_shape:Normal"", ""overall_style:Classic"", ""setting_style:Solitaire""]","[""setting_style:Vintage""]",,session_20250609_012911,259dbd705b44eec1129a30973a118285.jpg
2025-06-09 1:31:29,889d1cf474beb6397aaaf4a189aa24f1.jpg,e1669e380480921b21abfce650601cac.jpg,889d1cf474beb6397aaaf4a189aa24f1.jpg,"[""head_setting:Bezel Set"", ""head_setting:Bezel Set"", ""oval_shape:Normal"", ""head_setting:Bezel Set"", ""oval_shape:Normal"", ""overall_style:Vintage"", ""head_setting:Bezel Set"", ""oval_shape:Normal"", ""overall_style:Vintage"", ""setting_style:Solitaire"", ""head_setting:Bezel Set"", ""oval_shape:Normal"", ""overall_style:Vintage"", ""setting_style:Solitaire""]","[""setting_style:Solitaire""]",,session_20250609_012911,e1669e380480921b21abfce650601cac.jpg
2025-06-09 1:32:27,7b36af9c468f84a65f216f9efafdd12e.jpg,89f98141d29f1776e7cdd681fa99066a.jpg,89f98141d29f1776e7cdd681fa99066a.jpg,"[""color_intensity:Royal Blue"", ""color_intensity:Royal Blue"", ""metal_type:Yellow Gold"", ""color_intensity:Royal Blue"", ""metal_type:Yellow Gold"", ""oval_shape:Normal"", ""color_intensity:Royal Blue"", ""metal_type:Yellow Gold"", ""oval_shape:Normal"", ""overall_style:Classic"", ""color_intensity:Royal Blue"", ""metal_type:Yellow Gold"", ""oval_shape:Normal"", ""color_intensity:Royal Blue"", ""metal_type:Yellow Gold"", ""oval_shape:Normal"", ""setting_style:Three Stone"", ""color_intensity:Royal Blue"", ""metal_type:Yellow Gold"", ""oval_shape:Normal"", ""overall_style:Classic"", ""setting_style:Three Stone"", ""color_intensity:Royal Blue"", ""metal_type:Yellow Gold"", ""oval_shape:Normal"", ""overall_style:Classic"", ""setting_style:Three Stone"", ""color_intensity:Royal Blue"", ""metal_type:Yellow Gold"", ""oval_shape:Normal"", ""overall_style:Classic"", ""setting_style:Three Stone"", ""color_intensity:Royal Blue"", ""metal_type:Yellow Gold"", ""oval_shape:Normal"", ""overall_style:Classic"", ""setting_style:Three Stone"", ""color_intensity:Royal Blue"", ""metal_type:Yellow Gold"", ""oval_shape:Normal"", ""overall_style:Classic"", ""setting_style:Three Stone"", ""color_intensity:Royal Blue"", ""metal_type:Yellow Gold"", ""oval_shape:Normal"", ""overall_style:Classic"", ""setting_style:Three Stone""]","[""setting_style:Three Stone"", ""color_intensity:Dark Blue"", ""setting_style:Three Stone"", ""color_intensity:Dark Blue"", ""head_setting:Eight Prong"", ""setting_style:Three Stone"", ""color_intensity:Dark Blue"", ""head_setting:Eight Prong"", ""metal_type:Yellow Gold"", ""setting_style:Three Stone"", ""color_intensity:Dark Blue"", ""head_setting:Eight Prong"", ""metal_type:Yellow Gold"", ""overall_style:Modern"", ""setting_style:Three Stone""]",,session_20250609_012911,7b36af9c468f84a65f216f9efafdd12e.jpg
2025-06-09 1:34:18,b1bf1803b8c9f18104bc65999542f8b5.jpg,a488feb4bae45c91cc3393eabb9f82ff.jpg,b1bf1803b8c9f18104bc65999542f8b5.jpg,"[""oval_shape:Wide"", ""oval_shape:Wide"", ""overall_style:Vintage"", ""oval_shape:Wide"", ""overall_style:Vintage"", ""oval_shape:Wide"", ""overall_style:Vintage"", ""oval_shape:Wide"", ""overall_style:Vintage""]","[""setting_style:Halo"", ""setting_style:Halo""]",,session_20250609_013320,a488feb4bae45c91cc3393eabb9f82ff.jpg
2025-06-09 1:34:54,361e90c269677297bb4809da9d5526be.jpg,259dbd705b44eec1129a30973a118285.jpg,361e90c269677297bb4809da9d5526be.jpg,"[""head_setting:Double Prong"", ""head_setting:Double Prong"", ""metal_type:Yellow Gold"", ""head_setting:Double Prong"", ""metal_type:Yellow Gold"", ""oval_shape:Wide"", ""head_setting:Double Prong"", ""metal_type:Yellow Gold"", ""oval_shape:Wide"", ""overall_style:Classic"", ""head_setting:Double Prong"", ""metal_type:Yellow Gold"", ""oval_shape:Wide"", ""overall_style:Classic""]","[""setting_style:Vintage""]",,session_20250609_013320,259dbd705b44eec1129a30973a118285.jpg
2025-06-09 1:35:46,4ac0b3a3c540f62b5d32de037c9ee0a5.jpg,feba2e72d436fc67dc55d8f62999b6c2.jpg,4ac0b3a3c540f62b5d32de037c9ee0a5.jpg,"[""color_intensity:Medium Blue"", ""color_intensity:Medium Blue"", ""metal_type:Yellow Gold"", ""color_intensity:Medium Blue"", ""metal_type:Yellow Gold"", ""oval_shape:Wide"", ""color_intensity:Medium Blue"", ""metal_type:Yellow Gold"", ""oval_shape:Wide"", ""overall_style:Modern"", ""color_intensity:Medium Blue"", ""metal_type:Yellow Gold"", ""oval_shape:Wide"", ""overall_style:Modern"", ""setting_style:Three Stone"", ""color_intensity:Medium Blue"", ""metal_type:Yellow Gold"", ""oval_shape:Wide"", ""overall_style:Modern"", ""setting_style:Three Stone""]","[""head_setting:Bezel Set""]",,session_20250609_013320,feba2e72d436fc67dc55d8f62999b6c2.jpg
2025-06-13 23:39:19,323b08cce71765b8b9428a31463bbdd1.jpg,a621ce9cb2d22941d1ca8d8573082490.jpg,323b08cce71765b8b9428a31463bbdd1.jpg,"[""color_intensity:Light Blue"", ""color_intensity:Light Blue"", ""head_setting:Four Prong"", ""color_intensity:Light Blue"", ""head_setting:Four Prong"", ""metal_type:Rose Gold"", ""color_intensity:Light Blue"", ""head_setting:Four Prong"", ""metal_type:Rose Gold"", ""oval_shape:Normal"", ""color_intensity:Light Blue"", ""head_setting:Four Prong"", ""metal_type:Rose Gold"", ""oval_shape:Normal"", ""overall_style:Modern"", ""color_intensity:Light Blue"", ""head_setting:Four Prong"", ""metal_type:Rose Gold"", ""oval_shape:Normal"", ""overall_style:Modern"", ""setting_style:Modern"", ""color_intensity:Light Blue"", ""head_setting:Four Prong"", ""metal_type:Rose Gold"", ""oval_shape:Normal"", ""overall_style:Modern"", ""setting_style:Modern"", ""color_intensity:Light Blue"", ""head_setting:Four Prong"", ""metal_type:Rose Gold"", ""oval_shape:Normal"", ""overall_style:Modern"", ""setting_style:Modern""]","[""color_intensity:Dark Blue"", ""color_intensity:Dark Blue""]",The stone is to dark on option B. Option A is better. I'm not a huge fan of the top point things tho.,session_20250613_233742,a621ce9cb2d22941d1ca8d8573082490.jpg
2025-06-13 23:40:58,4ad1a2f6df8766e9710b1285498c3ddd.jpg,d52442ed27304dea8a4c306121801c17 (1).jpg,d52442ed27304dea8a4c306121801c17 (1).jpg,"[""color_intensity:Medium Blue"", ""color_intensity:Medium Blue"", ""color_intensity:Medium Blue""]","[""overall_style:Nature Inspired"", ""overall_style:Nature Inspired""]",I don't like the A symmetry,session_20250613_233742,4ad1a2f6df8766e9710b1285498c3ddd.jpg
2025-06-13 23:42:41,4b756779e4f0c8d4d6d7678885203dde.jpg,b1bf1803b8c9f18104bc65999542f8b5.jpg,4b756779e4f0c8d4d6d7678885203dde.jpg,"[""head_setting:Four Prong"", ""color_intensity:Medium Blue"", ""head_setting:Four Prong"", ""color_intensity:Medium Blue"", ""head_setting:Four Prong"", ""metal_type:Yellow Gold"", ""color_intensity:Medium Blue"", ""head_setting:Four Prong"", ""metal_type:Yellow Gold"", ""oval_shape:Skinny"", ""color_intensity:Medium Blue"", ""head_setting:Four Prong"", ""metal_type:Yellow Gold"", ""oval_shape:Skinny"", ""overall_style:Nature Inspired"", ""color_intensity:Medium Blue"", ""head_setting:Four Prong"", ""metal_type:Yellow Gold"", ""oval_shape:Skinny"", ""overall_style:Nature Inspired"", ""setting_style:Three Stone"", ""color_intensity:Medium Blue"", ""head_setting:Four Prong"", ""metal_type:Yellow Gold"", ""oval_shape:Skinny"", ""overall_style:Nature Inspired"", ""setting_style:Three Stone"", ""color_intensity:Medium Blue"", ""head_setting:Four Prong"", ""metal_type:Yellow Gold"", ""oval_shape:Skinny"", ""overall_style:Nature Inspired"", ""setting_style:Three Stone"", ""color_intensity:Medium Blue"", ""head_setting:Four Prong"", ""metal_type:Yellow Gold"", ""oval_shape:Skinny"", ""overall_style:Nature Inspired"", ""setting_style:Three Stone"", ""color_intensity:Medium Blue"", ""head_setting:Four Prong"", ""metal_type:Yellow Gold"", ""oval_shape:Skinny"", ""overall_style:Nature Inspired"", ""setting_style:Three Stone"", ""color_intensity:Medium Blue"", ""head_setting:Four Prong"", ""metal_type:Yellow Gold"", ""oval_shape:Skinny"", ""overall_style:Nature Inspired"", ""setting_style:Three Stone"", ""color_intensity:Medium Blue"", ""head_setting:Four Prong"", ""metal_type:Yellow Gold"", ""oval_shape:Skinny"", ""overall_style:Nature Inspired"", ""setting_style:Three Stone"", ""color_intensity:Medium Blue"", ""head_setting:Four Prong"", ""metal_type:Yellow Gold"", ""oval_shape:Skinny"", ""overall_style:Nature Inspired"", ""setting_style:Three Stone""]","[""metal_type:Yellow Gold"", ""metal_type:Yellow Gold"", ""metal_type:Yellow Gold""]",I'm not sure I disklike option B. I just like option A more in all aspects,session_20250613_233742,b1bf1803b8c9f18104bc65999542f8b5.jpg
2025-06-13 23:44:49,b1bf1803b8c9f18104bc65999542f8b5.jpg,e1669e380480921b21abfce650601cac.jpg,e1669e380480921b21abfce650601cac.jpg,[],[],Don't disklike anything in particular. I like the color of the ring and metal in option A more. Thicker bands are also stronger for wear and tear so that's a factor.  I like the lead motif and the band still looks pretty solid,session_20250613_233742,b1bf1803b8c9f18104bc65999542f8b5.jpg
